event	start_date	end_date
Sanders Endorses Clinton	2016-07-12	2016-07-12
Pence Chosen as Rep VP Nominee	2016-07-15	2016-07-15
Republican Convention	2016-07-18	2016-07-21
Kaine Chosen as Dem VP Nominee	2016-07-22	2016-07-22
Wikileaks Sanders Emails	2016-07-23	2016-07-23
Democratic Convention	2016-07-25	2016-07-28
Trump Asks Russia to Hack Emails	2016-07-28	2016-07-28
Clinton Gets Pneumonia and Faints	2016-09-11	2016-09-11
Basket of Deplorables Comment	2016-09-13	2016-09-13
First Debate	2016-09-26	2016-09-26
VP Debate	2016-10-04	2016-10-04
Access Hollywood Tapes	2016-10-07	2016-10-07
Wikileaks Podesta Emails	2016-10-07	2016-10-07
Second Debate	2016-10-09	2016-10-09
Third Debate	2016-10-19	2016-10-19
Comey Letter	2016-10-28	2016-10-28
Election Day	2016-11-08	2016-11-08
Federal Officers Police US Cities	2020-07-22	2020-07-22
Harris Chosen as Dem VP Nominee	2020-08-11	2020-08-11
Democratic Convention	2020-08-17	2020-08-20
Jacob Blake Shot in Kenosha	2020-08-23	2020-08-23
Republican Convention	2020-08-24	2020-08-27
Kyle Rittenhouse Shoots Protesters	2020-08-25	2020-08-25
Trump Visits Kenosha	2020-09-01	2020-09-01
Woodward Interview	2020-09-09	2020-09-09
RBG Died	2020-09-18	2020-09-18
Coney Barrett Nominated	2020-09-26	2020-09-26
Trump Tax Returns Released	2020-09-27	2020-09-27
First Debate	2020-09-29	2020-09-29
Trump Gets COVID	2020-10-01	2020-10-01
Trump Returns to White House	2020-10-07	2020-10-07
VP Debate	2020-10-08	2020-10-08
Hunter Biden Laptop Story	2020-10-14	2020-10-14
Candidate Townhalls (Replaced 2nd Debate)	2020-10-15	2020-10-15
Final Debate	2020-10-22	2020-10-22
Coney Barrett Approved	2020-10-26	2020-10-26
Election Day	2020-11-03	2020-11-03
